Original_ID,Common_name,SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year
BAS_52469053,    ,O=C(N1CCC(O)C(O)COC(=O)C2(CCN(Cc3ncccc3)CC2)CCCC1)c1c(C)cncc1,-6.538,    ,Log Peff,-6.538,Log Peff,-6.5376019,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52096558,    ,O=C(N1CC(C)OC(C)C1)C1NC(=O)c2c(OCCCNC(=O)C(C(O)C)NC(=O)C1)cccc2,-7.301,    ,Log Peff,-7.301,Log Peff,-7.3010302,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51607231,    ,Clc1cc(C(=O)N2CC(=O)NC(C(C)C)COc3c(C(=O)NCCCC2)cc(Cl)cc3)ccc1,-5.886,    ,Log Peff,-5.886,Log Peff,-5.8860564,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52206269,    ,O=C(NCc1c(COC)cccc1)CN1Cc2c(Oc3c(OCC(C)(C)CCC1)cccc3)nccc2,-5.996,    ,Log Peff,-5.996,Log Peff,-5.9956784,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_54561391,    ,O=C(C)N1CC(OC)C(O)C(O)COCCCCN(C(=O)c2cc3OCOc3cc2)CCC1,-6.959,    ,Log Peff,-6.959,Log Peff,-6.9586072,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52146317,    ,O=C(NCCn1cncc1)Cc1cc2c(OCCCCCNC(=O)CN(Cc3ccccc3)C2)cc1,-5.971,    ,Log Peff,-5.971,Log Peff,-5.9706163,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52111961,    ,Fc1ccc(CCNC(=O)C2NC(=O)c3c(OCCN(C)C(=O)CCNC(=O)C2)cccc3)cc1,-7.046,    ,Log Peff,-7.046,Log Peff,-7.0457573,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51597381,    ,O=C(N1CC2(C(=O)N(CC)CCOc3c(cccc3)CCCC2)OCC1)c1cc(OC)ccc1,-5.606,    ,Log Peff,-5.606,Log Peff,-5.6055484,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51606597,    ,Clc1cc2C(=O)N(C)CCCCN(C(=O)c3cc(OC)ccc3)CCOc2cc1,-5.068,    ,Log Peff,-5.068,Log Peff,-5.0675263,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51593512,    ,O=C(N1CC2(C(=O)NCCOc3c(cccc3)CCCC2)OCC1)c1nn(c(C)c1)-c1ccccc1,-5.361,    ,Log Peff,-5.361,Log Peff,-5.3605137,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51903979,    ,O=C(NCCc1nccnc1)C1NC(=O)c2c(OCCN(C)C(=O)C(C(C)C)NC(=O)C1)cccc2,-7.046,    ,Log Peff,-7.046,Log Peff,-7.0457573,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51614607,    ,O=C(N1CCC2(CNC(=O)c3c(OCCCCCC2)cccc3)CC1)c1c(C)onc1CC,-5.348,    ,Log Peff,-5.348,Log Peff,-5.3477535,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52112682,    ,O=C(N1C(COC)CCC1)C1NC(=O)c2c(OCC(Cc3ccccc3)NC(=O)C(C(O)C)NC(=O)C1)cccc2,-6.721,    ,Log Peff,-6.721,Log Peff,-6.7212462,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51600546,    ,O=C(CCc1n(C)ncc1)N1CC2(C(=O)N(CCCC)CCOc3c(cccc3)CCCC2)OCC1,-5.475,    ,Log Peff,-5.475,Log Peff,-5.4749551,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51597172,    ,O=C(N1CC2(C(=O)N(CC)CCOc3c(cccc3)CCCC2)OCC1)c1oncc1,-5.228,    ,Log Peff,-5.228,Log Peff,-5.2284126,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51614625,    ,O=C(N1CCC2(CNC(=O)c3c(OCCCCCC2)cccc3)CC1)c1scnc1,-5.164,    ,Log Peff,-5.164,Log Peff,-5.1643095,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52172634,    ,O=C(N1CCOc2c(C(=O)N3CCC(COC)(CC3)CCCC1)cccc2)c1ncccc1,-5.728,    ,Log Peff,-5.728,Log Peff,-5.7281585,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52164046,    ,O=C(N1CCOc2c(C(=O)N3CCC(C(=O)NC)(CC3)CCCC1)cccc2)c1cc2nc[nH]c2cc1,-7.046,    ,Log Peff,-7.046,Log Peff,-7.0457573,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51593648,    ,O=C(N1CC2(C(=O)NCCOc3c(cccc3)CCCC2)OCC1)c1nc(Cc2ccccc2)ccc1,-5.585,    ,Log Peff,-5.585,Log Peff,-5.5850267,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51607321,    ,Clc1cc2C(=O)NCCCCN(C(=O)c3n[nH]c4c3CCCC4)CC(=O)NC(CC(C)C)COc2cc1,-7.046,    ,Log Peff,-7.046,Log Peff,-7.0457573,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51597344,    ,O=C(Cc1c(OC)cccc1)N1CC2(C(=O)N(CC)CCOc3c(cccc3)CCCC2)OCC1,-5.932,    ,Log Peff,-5.932,Log Peff,-5.9318142,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52042353,    ,O=C(NCC(O)CO)C1NC(=O)c2c(OCCCNC(=O)C(CC(C)C)NC(=O)C1)cccc2,-7.222,    ,Log Peff,-7.222,Log Peff,-7.2218485,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52155991,    ,N1(/C/2=N/CCOCCOc3c(Oc4ncccc\24)cccc3)CCOCC1,-6.26,    ,Log Peff,-6.26,Log Peff,-6.2596374,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_57286011,    ,O=C(CN(CCc1ncccc1)C)N1C(CC(C)C)CN(C(=O)C)CC(OC)C(O)C(O)COCCCC1,-6.377,    ,Log Peff,-6.377,Log Peff,-6.3767509,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52207314,    ,O=C(CN1Cc2c(Oc3c(OCCCCCC1)cccc3)nccc2)N1CC(O)C1,-6.114,    ,Log Peff,-6.114,Log Peff,-6.1135092,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51597310,    ,O=C(CC1CC1)N1CC2(C(=O)N(CC)CCOc3c(cccc3)CCCC2)OCC1,-5.379,    ,Log Peff,-5.379,Log Peff,-5.3788238,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_54565366,    ,Fc1c(C)c(NC(=O)CN2CCCN(C(=O)C)CC(OC)C(O)C(O)COCCCC2)ccc1,-6.824,    ,Log Peff,-6.824,Log Peff,-6.8239088,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51616282,    ,Clc1cc2C(=O)NCCCCN(C(=O)CCc3c(C)[nH]nc3C)CC(=O)NC(C)COc2cc1,-6.432,    ,Log Peff,-6.432,Log Peff,-6.4317985,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52474163,    ,Clc1ccc(Oc2c(OCC(NC(=O)C3NC(=O)c4c(OCCN(C)C(=O)C(CC(C)C)NC(=O)C3)cccc4)C)cccc2)cc1,-6.032,    ,Log Peff,-6.032,Log Peff,-6.031517,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51653515,    ,O=C(N1C(Cc2ccccc2)COc2c(C(=O)N(C)CCCC1)cccc2)c1cc(OC)ccc1,-5.005,    ,Log Peff,-5.005,Log Peff,-5.0048037,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_54567621,    ,O=C(CN(Cc1ccncc1)C)N1C(c2cc(OC)ccc2)C(C(C)C)CN(C(=O)C)CC(OC)C(O)C(O)COCCCC1,-6.456,    ,Log Peff,-6.456,Log Peff,-6.4559321,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52206320,    ,O=C(NCCc1ncccc1)CN1Cc2c(Oc3c(OCC(C)(C)CCC1)cccc3)nccc2,-5.106,    ,Log Peff,-5.106,Log Peff,-5.1062384,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51606205,    ,Clc1cc(C(=O)N2CC(=O)NC(CC(C)C)COc3c(C(=O)NCCCC2)cc(Cl)cc3)ccc1,-5.652,    ,Log Peff,-5.652,Log Peff,-5.6516953,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51604190,    ,Clc1cc2C(=O)NCCCCN(C(=O)c3cc(C)ccc3)CCCCOc2cc1,-5.127,    ,Log Peff,-5.127,Log Peff,-5.1266794,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51606212,    ,Clc1cc2C(=O)NCCCCN(C(=O)c3cc4nn[nH]c4cc3)CC(=O)NC(CC(C)C)COc2cc1,-6.721,    ,Log Peff,-6.721,Log Peff,-6.7212462,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51607441,    ,Clc1cc2C(=O)NCCCCN(C(=O)c3cc4nn[nH]c4cc3)CC(=O)NC(CC(C)C)COc2cc1,-7.699,    ,Log Peff,-7.699,Log Peff,-7.6989698,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52203505,    ,O=C(NC(CO)CC(C)C)CCc1cc2c(OCCCCCNC(=O)CN(C(C)C)C2)cc1,-5.389,    ,Log Peff,-5.389,Log Peff,-5.3893399,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51603988,    ,Clc1cc2C(=O)NCCCCN(C(=O)CCn3c(C)ccn3)CC(=O)NC(Cc3ccccc3)COc2cc1,-6.553,    ,Log Peff,-6.553,Log Peff,-6.5528421,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51617166,    ,Clc1cc2C(=O)NCCCCN(C(=O)CCn3c(C)ccn3)CC(=O)NC(Cc3ccccc3)COc2cc1,-7.155,    ,Log Peff,-7.155,Log Peff,-7.154902,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52164210,    ,O=C(N1CCC2(CN(C)C(=O)COc3c(cccc3)CC(O)C(O)C2)CC1)c1nc(OC)ccc1,-6.77,    ,Log Peff,-6.77,Log Peff,-6.7695513,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51579729,    ,O=C(Cn1c(CC(C)C)nc2c1cccc2)N1C2C(NC(=O)COc3c(cccc3)C/C=C/C2)CCC1,-5.391,    ,Log Peff,-5.391,Log Peff,-5.3914738,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51585014,    ,O=C(N1CC2C(NC(=O)C(Cc3ccccc3)NC(=O)C3(C/C=C/C2)CCOCC3)CC1)c1nc(Cc2ccccc2)ccc1,-6.041,    ,Log Peff,-6.041,Log Peff,-6.0409584,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52164139,    ,Fc1ccc(C(=O)N2CCC3(CN(C)C(=O)COc4c(cccc4)CC(O)C(O)C3)CC2)cc1,-6.77,    ,Log Peff,-6.77,Log Peff,-6.7695513,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52475089,    ,O=C(NCCOc1c(C)c(C)ccc1)C1NC(=O)c2c(OCCN(CC)C(=O)C(Cc3ccccc3)NC(=O)C1)cccc2,-6.125,    ,Log Peff,-6.125,Log Peff,-6.124939,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52475157,    ,O=C(NCCOc1c(C)c(C)ccc1)C1NC(=O)c2c(OCCN(CC)C(=O)C(Cc3ccccc3)NC(=O)C1)cccc2,-5.788,    ,Log Peff,-5.788,Log Peff,-5.7878122,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52466325,    ,O=C(N1Cc2c(Oc3c(OCCCCCC1)cccc3)nccc2)c1c(CC)nns1,-5.656,    ,Log Peff,-5.656,Log Peff,-5.6556077,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52164153,    ,O=C(CC1CC1)N1CCC2(CN(C)C(=O)COc3c(cccc3)CC(O)C(O)C2)CC1,-6.638,    ,Log Peff,-6.638,Log Peff,-6.6382723,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_57264258,    ,O=C(/C=C/c1ccccc1)N1C(CC(C)C)CN(C(=O)C)CC(OC)C(O)C(O)COCCCC1,-6.036,    ,Log Peff,-6.036,Log Peff,-6.036212,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_57264557,    ,O=C(/C=C/c1ccccc1)N1C(CC(C)C)CN(C(=O)C)CC(OC)C(O)C(O)COCCCC1,-6.509,    ,Log Peff,-6.509,Log Peff,-6.5086384,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52163960,    ,FC(F)(F)CCC(=O)N1CCOc2c(C(=O)N3CCC(C(=O)NC)(CC3)CCCC1)cccc2,-6.721,    ,Log Peff,-6.721,Log Peff,-6.7212462,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52146323,    ,O=C(NCCCn1c(C)ncc1)Cc1cc2c(OCCCCCNC(=O)CN(Cc3ccccc3)C2)cc1,-5.69,    ,Log Peff,-5.69,Log Peff,-5.6903696,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51607201,    ,Clc1cc(CC(=O)N2CC(=O)NC(C(C)C)COc3c(C(=O)NCCCC2)cc(Cl)cc3)ccc1,-5.588,    ,Log Peff,-5.588,Log Peff,-5.5883803,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51570378,    ,O=C(NC)CN1CC2(C(=O)NCCOc3c(cccc3)C/C=C/C2)OCC1,-5.917,    ,Log Peff,-5.917,Log Peff,-5.9172144,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52163980,    ,Clc1c(CCC(=O)N2CCOc3c(C(=O)N4CCC(C(=O)NC)(CC4)CCCC2)cccc3)cccc1,-6.229,    ,Log Peff,-6.229,Log Peff,-6.2291479,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51600030,    ,O=C(N1CC2(C(=O)N(C)CCOc3c(cccc3)CCCC2)OCC1)c1cn(C)nc1,-5.523,    ,Log Peff,-5.523,Log Peff,-5.5228786,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51614623,    ,FC(F)(F)c1nn(CC(=O)N2CCC3(CNC(=O)c4c(OCCCCCC3)cccc4)CC2)cc1,-5.807,    ,Log Peff,-5.807,Log Peff,-5.8068752,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52126691,    ,Fc1ccc(C(CNC(=O)C2NC(=O)c3c(OCCN(C)C(=O)C(CO)NC(=O)CC2)cccc3)(C)C)cc1,-7.046,    ,Log Peff,-7.046,Log Peff,-7.0457573,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51600436,    ,O=C(CCCn1ncnc1)N1CC2(C(=O)N(CCCC)CCOc3c(cccc3)CCCC2)OCC1,-5.296,    ,Log Peff,-5.296,Log Peff,-5.2958493,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51615994,    ,Clc1cc2C(=O)N(C)CCCCN(C(=O)c3onc(C(C)C)c3)CCCOc2cc1,-5.233,    ,Log Peff,-5.233,Log Peff,-5.2328444,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52096542,    ,O=C(NCc1cc(CN2C(=O)CCC2)ccc1)C1NC(=O)c2c(OCCCNC(=O)C(C(O)C)NC(=O)C1)cccc2,-6.921,    ,Log Peff,-6.921,Log Peff,-6.9208188,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51616342,    ,Clc1cc2C(=O)NCCCCN(C(=O)c3noc(CCC)c3)CC(=O)NC(C)COc2cc1,-6.208,    ,Log Peff,-6.208,Log Peff,-6.2076082,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51599925,    ,O=C(COCC)N1CC2(C(=O)N(C)CCOc3c(cccc3)CCCC2)OCC1,-5.023,    ,Log Peff,-5.023,Log Peff,-5.0227337,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51650882,    ,S(=O)(=O)(N1C2C(Oc3c(C(=O)N(C)CCCC1)cccc3)CCCC2)c1c(F)cc(F)cc1,-6.31,    ,Log Peff,-6.31,Log Peff,-6.309804,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_51599720,    ,O=C(Cn1ncc(C)c1)N1CC2(C(=O)NCCOc3c(cccc3)CCCC2)OCC1,-5.987,    ,Log Peff,-5.987,Log Peff,-5.9871626,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
BAS_52110693,    ,Fc1ccc(CCNC(=O)C2NC(=O)c3c(OCCN(C)C(=O)C(C(O)C)NC(=O)C2)cccc3)cc1,-7.097,    ,Log Peff,-7.097,Log Peff,-7.09691,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022
